data-film-id,data-film-name,data-film-slug,data-film-release-year,data-film-link
1315,Avan Ivan,avan-ivan,2011,https://letterboxd.com/film/avan-ivan
1731,Raman Thediya Seethai,raman-thediya-seethai,2008,https://letterboxd.com/film/raman-thediya-seethai
1774,180,180,2011,https://letterboxd.com/film/180
2162,Deiva Thirumagal,deiva-thirumagal,2011,https://letterboxd.com/film/deiva-thirumagal
2292,Pen Singam,pen-singam,2010,https://letterboxd.com/film/pen-singam
2293,Dum Dum Dum,dum-dum-dum,2001,https://letterboxd.com/film/dum-dum-dum
2294,Aayitha Ezhuthu,aayitha-ezhuthu,2004,https://letterboxd.com/film/aayitha-ezhuthu
2296,Daas,daas,2005,https://letterboxd.com/film/daas
2297,Mazhai,mazhai,2005,https://letterboxd.com/film/mazhai
2298,Deepavali,deepavali,2007,https://letterboxd.com/film/deepavali
2300,Kurumbu,kurumbu,2003,https://letterboxd.com/film/kurumbu
2301,Pattiyal,pattiyal,2006,https://letterboxd.com/film/pattiyal
2302,Idhaya Thirudan,idhaya-thirudan,2006,https://letterboxd.com/film/idhaya-thirudan
2303,M. Kumaran S/O Mahalakshmi,m-kumaran-s-o-mahalakshmi,2004,https://letterboxd.com/film/m-kumaran-s-o-mahalakshmi
2304,Something Something… Unakkum Enakkum,something-something-unakkum-enakkum,2006,https://letterboxd.com/film/something-something-unakkum-enakkum
2306,Santosh Subramaniam,santosh-subramaniam,2008,https://letterboxd.com/film/santosh-subramaniam
2307,Thillalangadi,thillalangadi,2010,https://letterboxd.com/film/thillalangadi
2309,Engeyum Kadhal,engeyum-kadhal,2011,https://letterboxd.com/film/engeyum-kadhal
2424,Bhavani IPS,bhavani-ips,2011,https://letterboxd.com/film/bhavani-ips
2437,Ponniyin Selvan,ponniyin-selvan,2005,https://letterboxd.com/film/ponniyin-selvan
2438,Azhagiya Theeye,azhagiya-theeye,2004,https://letterboxd.com/film/azhagiya-theeye
2439,Poi,poi,2006,https://letterboxd.com/film/poi
2440,Velli Thirai,velli-thirai,2008,https://letterboxd.com/film/velli-thirai
2441,Mozhi,mozhi,2007,https://letterboxd.com/film/mozhi
2442,Arul,arul,2004,https://letterboxd.com/film/arul
2443,Bheema,bheema,2008,https://letterboxd.com/film/bheema
2446,Vettaiyaadu Vilaiyaadu,vettaiyaadu-vilaiyaadu,2006,https://letterboxd.com/film/vettaiyaadu-vilaiyaadu
2447,Pachaikili Muthucharam,pachaikili-muthucharam,2007,https://letterboxd.com/film/pachaikili-muthucharam
2448,Podaa Podi,podaa-podi,2012,https://letterboxd.com/film/podaa-podi
2450,Arinthum Ariyamalum,arinthum-ariyamalum,2005,https://letterboxd.com/film/arinthum-ariyamalum
2452,Siva Manasula Sakthi,siva-manasula-sakthi,2009,https://letterboxd.com/film/siva-manasula-sakthi
2454,Kacheri Arambam,kacheri-arambam,2010,https://letterboxd.com/film/kacheri-arambam
2455,Singam Puli,singam-puli,2011,https://letterboxd.com/film/singam-puli
2462,Ko,ko,2011,https://letterboxd.com/film/ko
2465,Sendhoorapandi,sendhoorapandi,1993,https://letterboxd.com/film/sendhoorapandi
2468,Naalaiya Theerpu,naalaiya-theerpu,1992,https://letterboxd.com/film/naalaiya-theerpu
2469,Ghilli,ghilli,2004,https://letterboxd.com/film/ghilli
2470,Puthiya Geethai,puthiya-geethai,2003,https://letterboxd.com/film/puthiya-geethai
2472,Madurey,madurey,2004,https://letterboxd.com/film/madurey
2474,Thirupaachi,thirupaachi,2005,https://letterboxd.com/film/thirupaachi
2475,Sachein,sachein,2005,https://letterboxd.com/film/sachein
2478,Sukran,sukran,2005,https://letterboxd.com/film/sukran
2479,Aathi,aathi,2006,https://letterboxd.com/film/aathi
2480,Azhagiya Tamil Magan,azhagiya-tamil-magan,2007,https://letterboxd.com/film/azhagiya-tamil-magan
2481,Vettaikaaran,vettaikaaran,2009,https://letterboxd.com/film/vettaikaaran
2482,Velayudham,velayudham,2011,https://letterboxd.com/film/velayudham
2669,Siruthai,siruthai,2011,https://letterboxd.com/film/siruthai
3062,Eeram,eeram,2009,https://letterboxd.com/film/eeram
3063,Engal Kural,engal-kural,1985,https://letterboxd.com/film/engal-kural
3064,Annanukku Jey,annanukku-jey,2018,https://letterboxd.com/film/annanukku-jey
3066,Mudhal Kural,mudhal-kural,1992,https://letterboxd.com/film/mudhal-kural
3068,Gentleman,gentleman,1993,https://letterboxd.com/film/gentleman
3070,Jai Hind,jai-hind,1994,https://letterboxd.com/film/jai-hind
3072,Mudhalvan,mudhalvan,1999,https://letterboxd.com/film/mudhalvan
3075,,mannavaru-sinnavaru,,https://letterboxd.com/film/mannavaru-sinnavaru
3077,Vaanavil,vaanavil,2000,https://letterboxd.com/film/vaanavil
3088,Madrasi,madrasi,2006,https://letterboxd.com/film/madrasi
3091,Marudhamalai,marudhamalai,2007,https://letterboxd.com/film/marudhamalai
3093,Gajendra,gajendra,2004,https://letterboxd.com/film/gajendra
3094,Thiruvannamalai,thiruvannamalai,2008,https://letterboxd.com/film/thiruvannamalai
3096,Durai,durai,2008,https://letterboxd.com/film/durai
3098,Bommalattam,bommalattam,2008,https://letterboxd.com/film/bommalattam
3103,Vallakottai,vallakottai,2010,https://letterboxd.com/film/vallakottai
3163,Kalathur Kannamma,kalathur-kannamma,1960,https://letterboxd.com/film/kalathur-kannamma
3164,Parthal Pasi Theerum,parthal-pasi-theerum,1962,https://letterboxd.com/film/parthal-pasi-theerum
3165,Anandha Jodhi,anandha-jodhi,1963,https://letterboxd.com/film/anandha-jodhi
3166,Kanna Nalama,kanna-nalama,1972,https://letterboxd.com/film/kanna-nalama
3169,Captain Prabhakaran,captain-prabhakaran,1991,https://letterboxd.com/film/captain-prabhakaran
3170,Manmadha Leelai,manmadha-leelai,1976,https://letterboxd.com/film/manmadha-leelai
3172,Sathyam,sathyam,1976,https://letterboxd.com/film/sathyam
3174,Aadu Puli,aadu-puli,2011,https://letterboxd.com/film/aadu-puli
3176,Avargal,avargal,1977,https://letterboxd.com/film/avargal
3177,Naam Pirandha Mann,naam-pirandha-mann,1977,https://letterboxd.com/film/naam-pirandha-mann
3178,Sattam En Kaiyil,sattam-en-kaiyil,1978,https://letterboxd.com/film/sattam-en-kaiyil
3179,Manitharil Ithanai Nirangalah!,manitharil-ithanai-nirangalah,1978,https://letterboxd.com/film/manitharil-ithanai-nirangalah
3181,Nizhal Nijamagirathu,nizhal-nijamagirathu,1978,https://letterboxd.com/film/nizhal-nijamagirathu
3183,Idhaya Vasal,idhaya-vasal,1991,https://letterboxd.com/film/idhaya-vasal
3184,Sigappu Rojakkal,sigappu-rojakkal,1978,https://letterboxd.com/film/sigappu-rojakkal
3185,Sigappukkal Mookkuthi,sigappukkal-mookkuthi,1979,https://letterboxd.com/film/sigappukkal-mookkuthi
3187,Neeya?,neeya,1979,https://letterboxd.com/film/neeya
3189,,sandhana-kaatru,,https://letterboxd.com/film/sandhana-kaatru
3191,Varumayin Niram Sivappu,varumayin-niram-sivappu,1980,https://letterboxd.com/film/varumayin-niram-sivappu
3192,Ullasa Paravaigal,ullasa-paravaigal,1980,https://letterboxd.com/film/ullasa-paravaigal
3193,Ram Lakshman,ram-lakshman,1981,https://letterboxd.com/film/ram-lakshman
3194,Kadal Meengal,kadal-meengal,1981,https://letterboxd.com/film/kadal-meengal
3195,Thillu Mullu,thillu-mullu,1981,https://letterboxd.com/film/thillu-mullu
3196,Sankarlal,sankarlal,1981,https://letterboxd.com/film/sankarlal
3197,Ellam Inbamayyam,ellam-inbamayyam,1981,https://letterboxd.com/film/ellam-inbamayyam
3198,Meendum Kokila,meendum-kokila,1981,https://letterboxd.com/film/meendum-kokila
3199,Raja Paarvai,raja-paarvai,1981,https://letterboxd.com/film/raja-paarvai
3200,Savaal,savaal,1981,https://letterboxd.com/film/savaal
3202,Rani Theni,rani-theni,1982,https://letterboxd.com/film/rani-theni
3204,Sirayil Sila Raagangal,sirayil-sila-raagangal,1990,https://letterboxd.com/film/sirayil-sila-raagangal
3205,Sagalakala Vallavan,sagalakala-vallavan,1982,https://letterboxd.com/film/sagalakala-vallavan
3206,Poikkal Kudhirai,poikkal-kudhirai,1983,https://letterboxd.com/film/poikkal-kudhirai
3207,Vazhvey Maayam,vazhvey-maayam,1982,https://letterboxd.com/film/vazhvey-maayam
3208,Moondram Pirai,moondram-pirai,1982,https://letterboxd.com/film/moondram-pirai
3209,Simla Special,simla-special,1982,https://letterboxd.com/film/simla-special
3211,Thoongadhey Thambi Thoongadhey,thoongadhey-thambi-thoongadhey,1983,https://letterboxd.com/film/thoongadhey-thambi-thoongadhey
3213,Oru Kaidhiyin Diary,oru-kaidhiyin-diary,1985,https://letterboxd.com/film/oru-kaidhiyin-diary
3214,Enakkul Oruvan,enakkul-oruvan,1984,https://letterboxd.com/film/enakkul-oruvan
3216,Uyarndha Ullam,uyarndha-ullam,1985,https://letterboxd.com/film/uyarndha-ullam
3217,Japanil Kalyanaraman,japanil-kalyanaraman,1985,https://letterboxd.com/film/japanil-kalyanaraman
3218,Kaakki Sattai,kaakki-sattai,1985,https://letterboxd.com/film/kaakki-sattai
3219,Mangamma Sabadham,mangamma-sabadham,1985,https://letterboxd.com/film/mangamma-sabadham
3220,,december-pookal,,https://letterboxd.com/film/december-pookal
3221,Punnagai Mannan,punnagai-mannan,1986,https://letterboxd.com/film/punnagai-mannan
3222,Naanum Oru Thozhilali,naanum-oru-thozhilali,1986,https://letterboxd.com/film/naanum-oru-thozhilali
3223,Manakanakku,manakanakku,1986,https://letterboxd.com/film/manakanakku
3224,Vikram,vikram,1986,https://letterboxd.com/film/vikram
3225,Per Sollum Pillai,per-sollum-pillai,1987,https://letterboxd.com/film/per-sollum-pillai
3226,Kadamai Kanniyam Kattupaadu,kadamai-kanniyam-kattupaadu,1987,https://letterboxd.com/film/kadamai-kanniyam-kattupaadu
3227,Kaadhal Parisu,kaadhal-parisu,1987,https://letterboxd.com/film/kaadhal-parisu
